Date,Open,High,Low,Close,Adj Close,Volume
2021-11-22,277000.000000,284500.000000,275500.000000,281000.000000,265518.343750,255604
2021-11-23,283500.000000,292000.000000,283000.000000,286500.000000,270715.281250,389317
2021-11-24,286500.000000,287000.000000,278500.000000,280500.000000,265045.906250,336968
2021-11-25,279500.000000,280000.000000,274500.000000,277000.000000,261738.718750,226729
2021-11-26,277500.000000,278000.000000,271000.000000,272000.000000,257014.203125,251387
2021-11-29,266500.000000,268000.000000,262000.000000,264500.000000,249927.406250,526535
2021-11-30,267000.000000,270000.000000,260000.000000,261000.000000,246620.234375,603733
2021-12-01,266500.000000,284500.000000,263000.000000,277000.000000,261738.718750,1158036
2021-12-02,276500.000000,283000.000000,270000.000000,281500.000000,265990.812500,558575
2021-12-03,282000.000000,288000.000000,280000.000000,284000.000000,268353.062500,417560
2021-12-06,284000.000000,292000.000000,278000.000000,287000.000000,271187.750000,617298
2021-12-07,291500.000000,293500.000000,285000.000000,288500.000000,272605.125000,398800
2021-12-08,290000.000000,295000.000000,287500.000000,290000.000000,274022.437500,403743
2021-12-09,287000.000000,295000.000000,284000.000000,295000.000000,278747.031250,696363
2021-12-10,288500.000000,288500.000000,280500.000000,281500.000000,265990.812500,1049824
2021-12-13,281000.000000,291000.000000,280000.000000,287000.000000,271187.750000,535999
2021-12-14,285500.000000,288500.000000,281000.000000,288500.000000,272605.125000,289748
2021-12-15,286500.000000,287500.000000,281500.000000,282000.000000,266463.250000,348499
2021-12-16,284000.000000,285500.000000,279000.000000,283500.000000,267880.625000,424524
2021-12-17,281000.000000,292500.000000,281000.000000,292000.000000,275912.281250,499153
2021-12-20,288000.000000,288000.000000,280000.000000,280500.000000,265045.906250,378947
2021-12-21,282000.000000,283000.000000,279000.000000,280500.000000,265045.906250,178706
2021-12-22,281000.000000,286000.000000,281000.000000,282000.000000,266463.250000,228349
2021-12-23,283500.000000,285500.000000,282000.000000,283500.000000,267880.625000,159175
2021-12-24,283500.000000,285000.000000,282500.000000,284000.000000,268353.062500,167055
2021-12-27,284500.000000,284500.000000,281000.000000,281500.000000,265990.812500,160202
2021-12-28,282500.000000,283500.000000,280500.000000,283500.000000,267880.625000,337286
2021-12-29,278000.000000,281500.000000,273000.000000,279000.000000,268361.531250,329075
2021-12-30,278000.000000,280000.000000,274500.000000,274500.000000,264033.093750,219848
2022-01-04,279500.000000,288000.000000,278500.000000,286500.000000,275575.531250,347412
2022-01-05,288500.000000,298500.000000,286500.000000,295500.000000,284232.375000,867085
2022-01-06,297500.000000,310000.000000,293000.000000,304500.000000,292889.218750,1038400
2022-01-07,301500.000000,306500.000000,298000.000000,305000.000000,293370.125000,518413
2022-01-10,304000.000000,308500.000000,301000.000000,304000.000000,292408.281250,303091
2022-01-11,300500.000000,304000.000000,296000.000000,300000.000000,288560.750000,390725
2022-01-12,300500.000000,306500.000000,299500.000000,305500.000000,293851.062500,333786
2022-01-13,310500.000000,316000.000000,305500.000000,306500.000000,294812.937500,526231
2022-01-14,303500.000000,306000.000000,298000.000000,299000.000000,287598.906250,309975
2022-01-17,299000.000000,299000.000000,290500.000000,292500.000000,281346.750000,255851
2022-01-18,294500.000000,294500.000000,284000.000000,286000.000000,275094.593750,325795
2022-01-19,280500.000000,289500.000000,279500.000000,284500.000000,273651.812500,308227
2022-01-20,285500.000000,294000.000000,285000.000000,286000.000000,275094.593750,383480
2022-01-21,282500.000000,283000.000000,278000.000000,282000.000000,271247.125000,324796
2022-01-24,280000.000000,282500.000000,273000.000000,274500.000000,264033.093750,319122
2022-01-25,273000.000000,273000.000000,265500.000000,266500.000000,256338.156250,448495
2022-01-26,266500.000000,266500.000000,266500.000000,266500.000000,256338.156250,0
2022-01-27,263500.000000,269000.000000,256000.000000,257500.000000,247681.343750,463038
2022-01-28,260000.000000,267000.000000,256500.000000,265000.000000,254895.359375,333753
2022-02-03,274500.000000,275500.000000,267000.000000,268000.000000,257780.968750,360416
2022-02-04,268000.000000,270000.000000,263500.000000,268500.000000,258261.890625,247870
2022-02-07,268000.000000,269500.000000,261000.000000,268500.000000,258261.890625,282832
2022-02-08,268500.000000,268500.000000,268500.000000,268500.000000,258261.890625,0
2022-02-09,268500.000000,268500.000000,268500.000000,268500.000000,258261.890625,0
2022-02-10,285000.000000,286000.000000,279000.000000,280000.000000,269323.375000,312672
2022-02-11,281000.000000,292000.000000,280500.000000,290000.000000,278942.062500,542251
2022-02-14,287500.000000,290000.000000,283000.000000,284000.000000,273170.906250,259367
2022-02-15,285500.000000,287000.000000,277500.000000,280500.000000,269804.343750,420548
2022-02-16,283000.000000,283500.000000,278000.000000,280500.000000,269804.343750,240682
2022-02-17,282500.000000,286000.000000,278000.000000,283000.000000,272209.000000,266814
2022-02-18,278000.000000,281500.000000,274500.000000,281500.000000,270766.218750,253732
2022-02-21,281500.000000,281500.000000,281500.000000,281500.000000,270766.218750,0
2022-02-22,281500.000000,281500.000000,281500.000000,281500.000000,270766.218750,0
2022-02-23,281500.000000,281500.000000,281500.000000,281500.000000,270766.218750,0
2022-02-24,273000.000000,279000.000000,272500.000000,278000.000000,267399.656250,332271
2022-02-25,278000.000000,278500.000000,273000.000000,275500.000000,264994.968750,273489
2022-02-28,275500.000000,275500.000000,275500.000000,275500.000000,264994.968750,0
2022-03-02,284500.000000,287000.000000,281000.000000,283500.000000,272689.968750,332940
2022-03-03,287000.000000,294500.000000,284000.000000,290500.000000,279423.031250,361119
2022-03-04,290500.000000,290500.000000,290500.000000,290500.000000,279423.031250,0
2022-03-07,286500.000000,289500.000000,285000.000000,285500.000000,274613.656250,245246
2022-03-08,281500.000000,285500.000000,275500.000000,276500.000000,265956.843750,360988
2022-03-10,276500.000000,276500.000000,276500.000000,276500.000000,265956.843750,0
2022-03-11,283000.000000,285000.000000,279000.000000,282000.000000,271247.125000,208498
2022-03-14,282000.000000,291000.000000,281000.000000,287000.000000,276056.468750,277812
2022-03-15,287000.000000,287000.000000,287000.000000,287000.000000,276056.468750,0
2022-03-16,283000.000000,285000.000000,279000.000000,283000.000000,272209.000000,222274
2022-03-17,283000.000000,283000.000000,283000.000000,283000.000000,272209.000000,0
2022-03-18,286500.000000,293500.000000,284500.000000,287000.000000,276056.468750,377985
2022-03-21,287000.000000,287000.000000,287000.000000,287000.000000,276056.468750,0
2022-03-22,289000.000000,294500.000000,287500.000000,293000.000000,281827.687500,324522
2022-03-23,297500.000000,306500.000000,297000.000000,306500.000000,294812.937500,519555
2022-03-24,303500.000000,304500.000000,299000.000000,304000.000000,292408.281250,353201
2022-03-25,304000.000000,305000.000000,297500.000000,299500.000000,288079.843750,263554
2022-03-28,299500.000000,300000.000000,294000.000000,299500.000000,288079.843750,265949
2022-03-29,300500.000000,301000.000000,296000.000000,299000.000000,287598.906250,284426
2022-03-30,296500.000000,298500.000000,289000.000000,290000.000000,282724.343750,440166
2022-03-31,291000.000000,294500.000000,290000.000000,293000.000000,285649.093750,292573
2022-04-01,289500.000000,291500.000000,286000.000000,288000.000000,280774.500000,304417
2022-04-04,287000.000000,294000.000000,286500.000000,294000.000000,286624.000000,207021
2022-04-05,292500.000000,293500.000000,287500.000000,289500.000000,282236.875000,191471
2022-04-06,286000.000000,288000.000000,283500.000000,285000.000000,277849.812500,235528
2022-04-07,283500.000000,286500.000000,280500.000000,280500.000000,273462.687500,220834
