Date,Open,High,Low,Close,Adj Close,Volume
2021-11-22,101916.156250,101916.156250,101916.156250,101916.156250,94698.664063,0
2021-11-23,101916.156250,101916.156250,101916.156250,101916.156250,94698.664063,0
2021-11-24,101916.156250,101916.156250,101916.156250,101916.156250,94698.664063,0
2021-11-25,101916.156250,101916.156250,101916.156250,101916.156250,94698.664063,0
2021-11-26,101916.156250,101916.156250,101916.156250,101916.156250,94698.664063,0
2021-11-29,53400.000000,60000.000000,50000.000000,57900.000000,53799.648438,11028540
2021-11-30,57100.000000,57200.000000,54000.000000,54500.000000,50640.425781,4709252
2021-12-01,54400.000000,55500.000000,52600.000000,54600.000000,50733.347656,2374823
2021-12-02,53600.000000,55600.000000,53500.000000,55400.000000,51476.687500,1402831
2021-12-03,56100.000000,57000.000000,55200.000000,56800.000000,52777.546875,1422693
2021-12-06,56400.000000,56900.000000,55000.000000,55700.000000,51755.449219,1228089
2021-12-07,55700.000000,56100.000000,55200.000000,55800.000000,51848.367188,1226437
2021-12-08,55700.000000,56400.000000,55000.000000,55100.000000,51197.933594,1141535
2021-12-09,55200.000000,55900.000000,54500.000000,55900.000000,51941.285156,1291113
2021-12-10,55700.000000,56300.000000,55100.000000,55800.000000,51848.367188,709057
2021-12-13,55800.000000,57200.000000,55600.000000,56000.000000,52034.195313,1006317
2021-12-14,55600.000000,56200.000000,55300.000000,56200.000000,52220.035156,764960
2021-12-15,55800.000000,56700.000000,55600.000000,56000.000000,52034.195313,748930
2021-12-16,57500.000000,58900.000000,56800.000000,58700.000000,54542.992188,1818142
2021-12-17,58700.000000,61600.000000,58700.000000,60900.000000,56587.187500,1924844
2021-12-20,61300.000000,62000.000000,60500.000000,61000.000000,56680.109375,829333
2021-12-21,61500.000000,62500.000000,61200.000000,61800.000000,57423.457031,1199899
2021-12-22,61800.000000,62800.000000,61700.000000,62600.000000,58166.804688,964673
2021-12-23,62400.000000,63100.000000,62000.000000,62700.000000,58259.718750,617366
2021-12-24,62700.000000,63000.000000,61400.000000,61700.000000,57330.539063,812897
2021-12-27,61700.000000,61800.000000,60500.000000,61300.000000,56958.863281,806214
2021-12-28,61400.000000,61700.000000,61100.000000,61300.000000,56958.863281,1066752
2021-12-29,59800.000000,59900.000000,58100.000000,58300.000000,55679.105469,1356361
2021-12-30,58200.000000,58300.000000,57200.000000,57900.000000,55297.089844,840690
2022-01-04,57000.000000,57200.000000,56300.000000,57200.000000,54628.554688,957080
2022-01-05,56900.000000,58900.000000,56800.000000,58300.000000,55679.105469,1213826
2022-01-06,58200.000000,58900.000000,57600.000000,57900.000000,55297.089844,953429
2022-01-07,57400.000000,57900.000000,56000.000000,56400.000000,53864.519531,921007
2022-01-10,56000.000000,57100.000000,55500.000000,56500.000000,53960.023438,705212
2022-01-11,56000.000000,56900.000000,55600.000000,56200.000000,53673.511719,643813
2022-01-12,56200.000000,56600.000000,55800.000000,56100.000000,53578.003906,899772
2022-01-13,56100.000000,56500.000000,56000.000000,56300.000000,53769.015625,714315
2022-01-14,55700.000000,56800.000000,55500.000000,56300.000000,53769.015625,628223
2022-01-17,56500.000000,56800.000000,55700.000000,55800.000000,53291.496094,464691
2022-01-18,55900.000000,56900.000000,55600.000000,56200.000000,53673.511719,934247
2022-01-19,55900.000000,56600.000000,55200.000000,55800.000000,53291.496094,788634
2022-01-20,56200.000000,56900.000000,55800.000000,56800.000000,54246.539063,675707
2022-01-21,56300.000000,57400.000000,55800.000000,57300.000000,54724.062500,758372
2022-01-24,57200.000000,57300.000000,56300.000000,56300.000000,53769.015625,540013
2022-01-25,55800.000000,56900.000000,55500.000000,56300.000000,53769.015625,739638
2022-01-26,56300.000000,56300.000000,56300.000000,56300.000000,53769.015625,0
2022-01-27,56100.000000,56600.000000,55000.000000,55500.000000,53004.980469,917325
2022-01-28,56200.000000,56400.000000,55000.000000,56400.000000,53864.519531,1076375
2022-02-03,56000.000000,57300.000000,55900.000000,56300.000000,53769.015625,1169316
2022-02-04,56500.000000,56700.000000,56100.000000,56400.000000,53864.519531,775347
2022-02-07,56300.000000,56500.000000,54800.000000,55400.000000,52909.472656,1054979
2022-02-08,55400.000000,55400.000000,55400.000000,55400.000000,52909.472656,0
