Date,Open,High,Low,Close,Adj Close,Volume
2021-11-22,31050.000000,31200.000000,30850.000000,30950.000000,29150.472656,433176
2021-11-23,30850.000000,31050.000000,30800.000000,30850.000000,29056.285156,431257
2021-11-24,30850.000000,31150.000000,30800.000000,30900.000000,29103.378906,399143
2021-11-25,30850.000000,31150.000000,30700.000000,31050.000000,29244.658203,365852
2021-11-26,31100.000000,31500.000000,31050.000000,31150.000000,29338.843750,678903
2021-11-29,30750.000000,31500.000000,30650.000000,31150.000000,29338.843750,1012271
2021-11-30,31150.000000,31300.000000,30000.000000,30300.000000,28538.265625,1783321
2021-12-01,30250.000000,30250.000000,29800.000000,30000.000000,28255.707031,1070189
2021-12-02,29800.000000,29850.000000,29450.000000,29700.000000,27973.150391,1300970
2021-12-03,29900.000000,30600.000000,29750.000000,30500.000000,28726.636719,972844
2021-12-06,30450.000000,31000.000000,30250.000000,30900.000000,29103.378906,713507
2021-12-07,30900.000000,31000.000000,30600.000000,30750.000000,28962.099609,690860
2021-12-08,30800.000000,31250.000000,30600.000000,30750.000000,28962.099609,742252
2021-12-09,30800.000000,30950.000000,30650.000000,30950.000000,29150.472656,973103
2021-12-10,30900.000000,31050.000000,30700.000000,30950.000000,29150.472656,404155
2021-12-13,30950.000000,31300.000000,30900.000000,31100.000000,29291.750000,474372
2021-12-14,31050.000000,31300.000000,30950.000000,31050.000000,29244.658203,542983
2021-12-15,31050.000000,31150.000000,31000.000000,31100.000000,29291.750000,436492
2021-12-16,31200.000000,31800.000000,31150.000000,31750.000000,29903.957031,1067164
2021-12-17,31850.000000,32350.000000,31850.000000,32350.000000,30469.072266,1206867
2021-12-20,32250.000000,32300.000000,31850.000000,31950.000000,30092.328125,795469
2021-12-21,32050.000000,32350.000000,31950.000000,32250.000000,30374.884766,895916
2021-12-22,32300.000000,32450.000000,32050.000000,32100.000000,30233.607422,655141
2021-12-23,32450.000000,32600.000000,32300.000000,32500.000000,30610.349609,1307230
2021-12-24,32650.000000,32850.000000,32600.000000,32750.000000,30845.814453,1402217
2021-12-27,32850.000000,32950.000000,32650.000000,32700.000000,30798.720703,1279025
2021-12-28,32550.000000,32850.000000,32450.000000,32850.000000,30940.000000,2476436
2021-12-29,31550.000000,31600.000000,31000.000000,31000.000000,31000.000000,2371204
2021-12-30,31000.000000,31150.000000,30550.000000,30600.000000,30600.000000,1008721
2022-01-04,30400.000000,30450.000000,30000.000000,30100.000000,30100.000000,1102428
2022-01-05,30200.000000,30850.000000,30200.000000,30800.000000,30800.000000,1456180
2022-01-06,30750.000000,30800.000000,30250.000000,30250.000000,30250.000000,989988
2022-01-07,30250.000000,30450.000000,30100.000000,30250.000000,30250.000000,638257
2022-01-10,30400.000000,30900.000000,30350.000000,30800.000000,30800.000000,688606
2022-01-11,30650.000000,31100.000000,30600.000000,30650.000000,30650.000000,885682
2022-01-12,30800.000000,31150.000000,30750.000000,30950.000000,30950.000000,802203
